N Items,Accuracy,Mean,Var,Std


5,0.81,45.1978021978022,31.279555609225934,5.592812853048628

5,0.74,44.45348837209303,51.7362087614927,7.192788663758494

5,0.81,45.70454545454545,25.59452479338843,5.059103160975118

5,0.87,45.97826086956522,22.803875236294893,4.775340326751057

5,0.77,44.1,57.02333333333332,7.551379564909535

5,0.9,46.0625,15.850260416666666,3.981238553097097

5,0.77,44.7093023255814,55.834099513250386,7.472221859209641

5,0.71,44.7037037037037,43.44307270233196,6.5911359189696554

5,0.82,46.35294117647059,13.334256055363323,3.6516100634327486

5,0.8,45.3,32.209999999999994,5.675385449465084

5,0.81,46.05813953488372,20.147782585181183,4.488628140666275

5,0.79,45.35227272727273,32.2054493801653,5.674984526865717

5,0.73,44.71951219512195,46.76279000594884,6.838332399492499

5,0.81,45.168539325842694,44.40979674283551,6.664067582403071

5,0.77,44.82954545454545,38.0732179752066,6.17034990703174

5,0.86,45.74444444444445,34.92358024691358,5.9096176058111896

5,0.79,44.853932584269664,50.866304759500075,7.132061746753184

5,0.74,43.47126436781609,77.05377196459241,8.778027794703798

5,0.8,45.81609195402299,19.46043070418813,4.411397817493694

5,0.77,45.52325581395349,24.15643591130341,4.914919725824971

5,0.79,45.05813953488372,43.450108166576534,6.591669603869458

5,0.76,41.422222222222224,48.19950617283949,6.94258641810381

5,0.74,44.98809523809524,44.868905895691604,6.698425628137675

5,0.86,45.505376344086024,35.841368944386645,5.986766150801837

5,0.82,42.18681318681319,34.943122811254675,5.91127082878586

5,0.86,46.0,22.197802197802197,4.711454361213976

5,0.81,45.37777777777778,31.679506172839506,5.628455043157003

5,0.74,44.63529411764706,43.431695501730104,6.590272794181597

5,0.78,44.8,42.982222222222234,6.556082841317842

5,0.74,43.42045454545455,77.92549070247934,8.827541600155694

5,0.84,45.81111111111111,25.486543209876533,5.048419872581571

5,0.81,45.15555555555556,42.198024691358015,6.496000668977645

5,0.79,45.02272727272727,40.1585743801653,6.337079325696129

5,0.86,45.774193548387096,21.5511619840444,4.642322908204943

5,0.74,43.07692307692308,81.19188503803888,9.010653973937679

5,0.83,45.853932584269664,21.72023734376973,4.660497542513002

5,0.8,46.345238095238095,13.868905895691611,3.72409799759507

5,0.86,46.0989010989011,22.045163627581207,4.695227750341958

5,0.77,45.83132530120482,27.104078966468286,5.206157793081985

5,0.02,41.7032967032967,48.95592319768144,6.996850948654076

5,0.8,45.50574712643678,32.52582903950323,5.703142032204987

5,0.78,45.17977528089887,33.92273702815301,5.824322881516186

5,0.79,45.811764705882354,25.870449826989613,5.086300210073095

5,0.88,46.119565217391305,17.43135633270322,4.175087583836203

5,0.81,45.75581395348837,27.649675500270405,5.258295874165927

5,0.82,44.95652173913044,40.73724007561436,6.382573154740521

5,0.8,44.359550561797754,66.97184698901654,8.183632872326113

5,0.83,45.53260869565217,25.205458412098302,5.02050380062582

5,0.67,44.0625,56.90859375,7.5437784796479805

5,0.77,43.95505617977528,65.41371039010227,8.087874281299275

5,0.89,46.212765957446805,14.124943413309191,3.7583165664043245

